NA_index,news_articles,news_titles,news_ids
0,"Het toenemende aantal natuurbranden door klimaatverandering - waar experts maandag voor waarschuwen - heeft ook grote gevolgen voor dieren. De Dierenbescherming maakt zich zorgen over de bevindingen van wetenschappers die hierover een rapport hebben uitgebracht. ""Dit is voor de dieren geen goed nieuws"", zegt een woordvoerder.De Dierenbescherming neemt deel aan overleggen met faunabeheerders en wil het rapport hier volgens de zegsman zeker ter sprake brengen. ""Dit onderzoek baart ons absoluut zorgen. Het betekent dat het met de natuur in Nederland niet goed is gesteld.""Volgens de woordvoerder is de laatste jaren al te zien dat het extreme weer van invloed is op het welzijn van dieren in het wild, zoals herten en zwijnen. ""Vennetjes, slootjes en meertjes staan steeds vaker op het punt van uitdroging, de ruimte voor dieren wordt spaarzamer. En bij een grote fik wordt die ruimte alleen maar minder.""In het rapport dat maandag verscheen, schrijven experts van het Nederlands Instituut Publieke Veiligheid (NIPV), het KNMI en andere kenniscentra dat natuurbranden zich vaker zullen ontwikkelen tot branden die niet meer geblust kunnen worden. Ze stoppen pas als er geen brandstof - zoals bomen en planten - meer is. Het brandweersysteem, dat nu nog vooral is ingericht om te reageren op gebouwbranden, moet wat de experts betreft op de toenemende natuurbranden worden aangepast.",Dierenbescherming bezorgd over toename natuurbranden,77db53aba1d5d5f97e3a9660e1f9eb87
1,"Penny Mordaunt heeft zich als eerste verkiesbaar gesteld om de Britse premier Liz Truss op te volgen. Ze probeerde ook al partijleider van de regerende Conservatieven te worden na het aftreden van Boris Johnson in juli, maar werd toen derde, achter Truss en Rishi Sunak.Mordaunt zegt zich gesteund te voelen door collega's die ook een ""frisse start"" willen. Ze wil leiden om ""het land te verenigen"" en de volgende landelijke verkiezingen te winnen. Om de leiderschapsverkiezing komende maandag te halen, moet ze in elk geval honderd partijgenoten achter zich krijgen. In juli kreeg ze 105 parlementsleden achter zich.Volgens Sky News hebben nu in elk geval zestien Conservatieve parlementariërs uitgesproken haar kandidatuur te steunen. Rishi Sunak en Boris Johnson zouden al op een stuk meer partijgenoten kunnen rekenen, respectievelijk 63 en 36. Zij hebben nog niet bevestigd dat ze premier willen worden, maar hebben tot maandag om zich verkiesbaar te stellen.Onder Truss' korte premierschap was Mordaunt de fractieleider van de Conservatieve Partij in het Lagerhuis. Eerder bekleedde ze verschillende posten als minister en onderminister.",Penny Mordaunt eerste kandidaat om premier Truss op te volgen (2),3414da88b669ca6d0a9e465f4ef054a8
2,"Minister Franc Weerwind (Rechtsbescherming) heeft als burgemeester van Almere zijn dienstauto 5078 kilometer gebruikt voor privéritten en nevenfuncties, terwijl dat niet mag. Dat is op te maken uit antwoorden van de huidige burgemeester Ank Bijleveld van Almere op raadsvragen van de PVV. Weerwind maakte 51 ritten met de dienstauto (enkel en retour). De cijfers gaan over de periode van 2017 tot en met 2021.Volgens de regels van de Belastingdienst mogen auto's van de zaak 500 kilometer per jaar worden gebruikt voor privédoeleinden, zonder daar belasting over te betalen. Weerwind zei eerder te betreuren dat hij als burgemeester van de gemeente Almere verkeerd had gehandeld toen hij zijn dienstauto gebruikte voor privéritten en nevenfuncties. Voor het kabinet was het geen reden om hem naar huis te sturen.De PVV in Almere vroeg ook nog hoe het kan dat ""het niet geoorloofd gebruik niet eerder is geconstateerd. Die meldingen zouden toch opvallen?"" Daarop is het antwoord dat in Almere ""gedegen controles op de rittenstaten ontbraken. In de organisatie was te weinig bekendheid met de regels en hoe om te gaan met twijfels over de uitleg daarvan"".De burgemeester stelt dat inmiddels een nieuw gebruiksreglement voor dienstauto’s is vastgesteld. Ook wordt ""de organisatie voorgelicht over de geldende regels en hoe te handelen bij twijfel of een vermoeden van strijdig handelen"". Daarbij zullen de ritten(staten) periodiek en minimaal jaarlijks gecontroleerd worden en gepubliceerd worden op de gemeentelijke website, zo is bepaald.In zijn huidige functie mag Weerwind zijn dienstauto wel gebruiken voor privéritten. Ministers en staatssecretarissen worden zelfs ""geacht"" dat te doen ""om redenen van bereikbaarheid en veiligheid"", staat vermeld in het handboek voor bewindspersonen. Alleen voor vakanties mag de dienstauto niet zomaar worden gebruikt.Weerwind was burgemeester vanaf 2015 tot hij vorig jaar minister werd. Daarna werd hij in Almere tijdelijk opgevolgd door oud-minister van Defensie Bijleveld. Zij bracht het nieuws over Weerwinds fouten naar buiten. Dat deed zij daags voordat haar opvolger bekendgemaakt werd. Het kabinet heeft in de ministerraad de partijloze burgemeester van Zwijndrecht Hein van der Loo benoemd. Die begint op 8 maart aan zijn nieuwe baan.",Weerwind reed 5000 kilometer privé met dienstauto,a6702c759316d9eed2bfab88f57e5d46
3,"Een Nederlandse touringcar is maandag in België ingereden op een vrachtwagen. Bij het ongeval, niet ver van Gent, zijn volgens de Belgische politie twintig gewonden gevallen.De bus van vervoersbedrijf Betuwe Express uit het Gelderse Herveld had 44 vooral oudere Nederlanders aan boord, schrijft persbureau Belga. De chauffeur van de bus raakte bekneld, meldt de politie. Hij is zwaargewond, maar niet in levensgevaar. De overige negentien gewonden kwamen er met lichte kwetsuren vanaf.Het ongeval gebeurde rond het middaguur op de E17 bij Destelbergen, tussen Antwerpen en Gent. De snelweg was urenlang volledig geblokkeerd en er ontstonden forse files. De bus is inmiddels weggesleept en de doorgang is deels vrij.<b>Telefoon</b>Waardoor de bus op de vrachtauto botste is nog onduidelijk, zegt de politie. De chauffeur merkte naar eigen zeggen niet op tijd op dat het verkeer voor hem had afgeremd. Mogelijk was hij druk met zijn telefoon, opperen Belgische media. De politie heeft het toestel in beslag genomen om het te onderzoeken. De chauffeur is zijn rijbewijs voor enige tijd kwijt.Directeur Albert Winnemuller van Betuwe Express zegt dat er een vervangende bus is gestuurd naar België voor de Nederlanders. ""De inzittenden worden opgevangen in een hal in Destelbergen. Met de andere touringcar kunnen ze hun reis voortzetten of terug naar huis gaan."" Dat ligt er volgens Winnemuller aan wat de stemming is en wat de toeristen willen.Ook Bolderman Excursiereizen, dat de reis had georganiseerd met Effeweg, probeert om de Nederlanders terug te halen. Ze zaten in de bus voor een rondreis door Spanje en Portugal. ""Collega's van ons zijn nu op weg naar de locatie om de mensen op te vangen, bij te staan en te helpen waar mogelijk."" In een verklaring op sociale media meldt de reisorganisatie dat de prioriteit nu ligt bij de gewonde chauffeur.",Twintig gewonden bij ongeluk Nederlandse vakantiebus in België,d6cd718438fc5ef133467c4c92f7942c
4,"Voor de 14-jarige jongen die vorige week is overleden als gevolg van een steekpartij bij zijn middelbare school in Hoorn, is een herinneringsplek met condoleanceregister ingericht. Mensen kunnen bijvoorbeeld tekeningen en bloemen brengen in dorpshuis De Schalm in Westwoud, het dorp waar het slachtoffer woonde, meldt de gemeente Drechterland woensdag.""De familie van Dani laat weten dat zij alle steunbetuigingen uit het dorp enorm op prijs stelt en zich hierdoor gesterkt voelt. Alle inwoners van Westwoud en omgeving kunnen in De Schalm terecht om de familie een hart onder de riem te steken, een blijk van medeleven te geven of een herinnering aan Dani te delen"", aldus de gemeente.De jongen werd vorige week woensdagmiddag rond 14.45 uur vlakbij zijn school Oscar Romero aan de Bouwsteen neergestoken. Hij overleed later die week in het ziekenhuis. NH Nieuws schreef eerder dat leerlingen hadden gemeld dat drie jongens op de rokersplaats net buiten het schoolplein ruzie kregen, waarbij klappen werden uitgedeeld en uiteindelijk een jongen een mes trok. Een 16-jarige jongen is opgepakt als verdachte. Hij is geen leerling van de middelbare school.Het condoleanceregister ligt tot en met zondag in het dorpshuis en kan dagelijks van 16.00 tot 23.00 uur getekend worden.",Condoleanceregister in dorpshuis voor doodgestoken jongen (14),e407125bc62366f952543cc704312a2b
5,"Corendon vliegt vrijdagochtend een groep hulpverleners naar Turkije zodat die daar in het aardbevingsgebied kan helpen. Aan boord zitten onder anderen artsen, verpleegkundigen en bouwvakkers die zich hebben aangesloten bij een initiatief van een transportbedrijf uit Vijfhuizen.De groep gaat met een speciale vlucht met ook hulpgoederen aan boord. Het toestel vertrekt vanuit Schiphol en landt volgens een woordvoerder van Corendon op het vliegveld van de getroffen miljoenenstad Gaziantep. Behalve medisch personeel en mensen uit de bouw gaan ook journalisten mee.Over de bouwvakkers zegt Gülten Işci van Hanzade Transport dat die een bijdrage kunnen leveren aan de opruimwerkzaamheden en het redden van mensen die onder het puin vastzitten. Het vliegtuig telt 189 stoelen en die hoopt de initiatiefneemster allemaal te vullen. Corendon, dat Turkse wortels heeft, vloog maandag voor het eerst een groep reddingswerkers naar Turkije.Het transportbedrijf van Işci houdt zich ook bezig met de inzameling van goederen voor slachtoffers van de aardbevingen. De spullen worden nu gesorteerd door zo'n driehonderd vrijwilligers. Er zijn al 25 vrachtwagens vertrokken en er zullen meer wagens volgen, laat Işci weten. Spullen die daarna overblijven worden mogelijk naar Turkije gevlogen.",Corendon vliegt weer hulpverleners naar Turkije,024f700dd09c90837db0b636e97edfa3
6,"Philips heeft in november en december 8000 nieuwe meldingen gedaan van problemen bij patiënten die mogelijk het gevolg zijn van defecte slaapapneu-apparaten. In 82 van die gevallen was er sprake van een sterfgeval, meldt de Amerikaanse toezichthouder voor medische apparaten FDA.De problemen met de slaapapneu-apparaten draaien om het isolatieschuim in de machines. Dat kon afbrokkelen of chemische stoffen afgeven na contact met bepaalde schoonmaakmiddelen, met mogelijke schade voor de gezondheid als gevolg. In totaal moet Philips 5,5 miljoen apparaten vervangen vanwege het defect.Philips benadrukt in een eigen update dat meer dan 90 procent van de 99.000 meldingen van de sinds april 2021 gemelde incidenten geen ernstige gevolgen had. Daarnaast zegt een melding van een incident na het gebruik van de bewuste apparatuur niet direct dat er een verband is tussen die twee, schrijft het medisch-technologisch concern uit Nederland.In totaal zijn 346 overlijdens gemeld die mogelijk te maken hebben gehad met de ondeugdelijke apparaten. Philips zegt al die meldingen te onderzoeken, maar tot op heden geen overtuigend bewijs te hebben gevonden dat die sterfgevallen in verband brengt met de technische problemen.",Duizenden nieuwe meldingen van problemen apneu-apparaten Philips,0b7609b07fafd1f97dfd97c7c00461d9
7,"Klimaatklever is verkozen tot het Woord van het Jaar 2022. Hoofdredacteuren Ton den Boon en Ruud Hendrickx van de Dikke Van Dale hebben dat dinsdag bekendgemaakt. Een klimaatklever is volgens Van Dale een ""activist die zich aan een object van symbolische waarde vastplakt om de aandacht van het publiek te vestigen op de klimaatproblematiek"".Zevenvinker eindigde op plek twee en energietoerisme op plek drie. Er werden bijna 15.000 stemmen uitgebracht. Van Dale had tien ingezonden woorden genomineerd om kans te maken op de titel Woord van het Jaar 2022. Naast de top 3 ging het om spijtgezin, emojibaby, bofbelasting, boektokken, needlespiking, prijzenpijn en stopbonus. Tot en met maandagmiddag konden mensen daarop hun stem uitbrengen.Van Dale Uitgevers reikt de titel jaarlijks uit. De verkiezing wordt sinds 2007 gehouden. Het gaat om woorden die ontstaan in de media. Ze raken vaak in zwang door een nieuwsfeit en zijn min of meer blijvend in het dagelijkse taalgebruik. Vorig jaar was prikspijt de winnaar. Het jaar daarvoor kreeg anderhalvemetersamenleving de meeste stemmen.",Klimaatklever is het Woord van het Jaar,bdca8f11d8d64f01a8f8bb6a88fc655e
8,"Ook bij een wapenfabrikant in Spanje is woensdag een bombrief bezorgd. Eerder op de dag raakte een medewerker van de Oekraïense ambassade in Madrid lichtgewond toen een aan de ambassadeur gerichte envelop ontplofte bij het openen.De Spaanse politie onderzoekt of en hoe de twee zaken met elkaar in verband staan. Het wapenbedrijf in Zaragoza is de fabrikant van de C90-raketwerpers die Spanje aan Oekraïne levert. Een woordvoerder van de lokale overheid daar liet op de Spaanse radio weten dat de twee enveloppen van dezelfde afzender lijken te zijn gekomen, aangezien hetzelfde emailadres op beide documenten was geschreven.De fabrikant sloeg alarm toen na het incident op de ambassade in Madrid ook in Zaragoza een brief uit Oekraïne werd bezorgd. De ingeschakelde alarmdiensten constateerden bij een scan van de envelop dat er een draad in was bevestigd, die een explosief had laten afgaan als het poststuk zou zijn geopend. De verdachte envelop is gecontroleerd tot ontploffing gebracht.De Oekraïense buitenlandminister Dmitro Koeleba riep eerder woensdag naar aanleiding van de explosie op de ambassade op tot extra veiligheidsmaatregelen bij alle ambassades van Oekraïne.",Nog een aan Oekraïne gelinkte bombrief in Spanje,8a7ff6a2b61080b6f50283a0e652b2f1
9,"De Catalaanse politie heeft twee tekeningen van honderd jaar oud van de Spaanse kunstenaar Salvador Dalí teruggevonden. Dat maakte de politiemacht vrijdag tijdens een persconferentie bekend. De tekeningen werden januari vorig jaar gestolen bij een inbraak in Barcelona.De politie zegt drie broers van 50, 53 en 55 te hebben opgepakt. Naast de twee houtskooltekeningen van Dalí werden ook andere kunstwerken, luxe horloges en waardevolle munten gevonden. De politie kwam de inbrekers op het spoor toen ze de tekeningen probeerden door te verkopen. Iemand uit de kunstwereld die hier lucht van kreeg, waarschuwde de politie.De inbrekers werden al in mei 2022 opgepakt, maar de schilderijen werden volgens de krant El País niet in hun huizen gevonden. Via berichten in de telefoons van de verdachten, ontdekte de politie de schilderijen in augustus in een opslagruimte.Dalí maakte de twee teruggevonden tekeningen in 1922 als illustraties voor een boek. De werken hebben een waarde van zo'n 300.000 euro. Ze zijn door experts van de Gala-Salvador Dalí Foundation op echtheid gecontroleerd en inmiddels terug bij de eigenaren in Barcelona.De drie gearresteerde broers opereerden in welvarende delen van Barcelona en kozen hun doelwit na dagenlange surveillance. Eenmaal binnen namen ze alleen waardevolle kunstwerken, muntenverzamelingen en andere antieke spullen mee.",VERBETERING: Spaanse politie vindt gestolen tekeningen Salvador Dalí (2),edc0cde80df0929eff762cbfc5b917e2
